"locality","min_price","max_price","avg_price","population","area_km2","population_density","dist_airport_km","dist_station_km","lat","lon","hospital_5km","clinic_5km","doctors_5km","pharmacy_5km","dentist_5km","school_5km","kindergarten_5km","college_5km","university_5km","bus_station_5km","parking_5km","fuel_5km","restaurant_5km","cafe_5km","bar_5km","bank_5km","atm_5km","hospital_2km","clinic_2km","doctors_2km","pharmacy_2km","dentist_2km","school_2km","kindergarten_2km","college_2km","university_2km","bus_station_2km","parking_2km","fuel_2km","restaurant_2km","cafe_2km","bar_2km","bank_2km","atm_2km","flooded"
"East Tambaram",4939,8174,6557,54406,5.68,9586,6.87,0.84,12.9265148,80.1314526,117,113,17,21,43,20,2,10,0,5,3,13,44,3,4,41,57,45,44,5,5,14,5,2,0,0,4,0,3,17,0,0,20,25,0
"Egattur",8608,13235,10922,5186,8.18,765,25.26,0.68,13.1078289,79.8855829,20,6,2,2,3,0,0,1,0,0,0,2,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egmore",13490,19483,16487,85687,2.81,30518,10.19,0.46,13.0728321,80.2576906,223,104,25,69,26,34,3,8,1,4,19,51,267,101,11,163,102,63,32,6,3,3,8,1,0,0,0,6,13,63,11,5,44,28,0
"Gerugambakkam",5014,7252,6133,7938,4.32,4180,2.67,2.91,13.0152345,80.1368538,34,35,4,5,9,13,4,2,1,4,1,14,20,8,1,11,21,1,2,0,1,0,0,1,0,0,0,0,1,4,0,0,0,5,0
"Gopalapuram",17324,25176,21250,34730,0.94,36792,8.88,1.53,13.0497324,80.2582028,216,112,23,58,14,34,4,6,1,3,13,54,239,58,16,128,104,51,24,9,8,5,10,2,2,0,0,0,19,75,18,4,50,27,0
"Guduvancheri",4122,6082,5102,35442,11.82,2997,15.33,0.58,12.8452303,80.0576503,17,34,3,1,12,2,0,0,1,1,1,5,7,1,0,3,1,8,27,3,0,9,0,0,0,0,1,0,3,2,0,0,2,0,0
"Guindy",11494,19670,15582,87827,7.88,11151,4.36,0.67,13.0086685,80.2126063,145,72,12,90,16,43,7,5,2,7,17,38,178,39,11,105,134,12,7,2,17,1,2,0,2,0,2,0,10,27,7,1,8,29,0
"Iyyappanthangal",5282,9337,7310,58705,7.88,7450,4.8,5.34,13.0381,80.1354,33,14,3,4,7,8,4,3,1,5,1,18,21,4,2,8,13,4,2,0,0,1,2,1,1,0,1,0,4,2,0,0,0,0,1
"Kanathur",6327,9543,7935,19307,4.06,4750,13.28,10.14,12.503217,75.145906,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kattankulathur",3899,5694,4797,14262,5.33,2673,18.27,0.38,12.823,80.0447,17,35,5,0,15,0,0,0,1,1,0,5,2,0,0,2,2,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0
"Kattupakkam",5471,7668,6570,43985,3.52,12499,5.73,6.11,13.0400552,80.1243027,25,12,0,1,1,6,1,3,1,4,1,17,12,2,1,6,8,10,6,0,0,1,1,1,2,0,2,0,4,3,0,0,0,1,0
"Keelkattalai",6586,9913,8250,46156,3.11,14824,3,2.39,12.9548473,80.1852685,91,84,5,45,41,39,4,9,0,6,3,27,63,17,4,65,69,14,5,1,8,3,13,0,0,0,1,0,9,10,7,0,13,11,0
"Kelambakkam",4172,6803,5487,12734,4.45,2862,17.48,13.74,12.7871437,80.219987,5,3,0,0,4,7,1,1,0,1,1,5,9,4,0,2,6,2,0,0,0,1,2,0,0,0,0,0,2,3,3,0,1,3,1
"Kilpauk",11017,18053,14535,101142,3.97,25476,9.8,0.94,13.0832149,80.2379864,223,122,18,70,26,36,3,7,0,11,8,47,208,70,9,118,106,69,19,2,5,1,1,0,0,0,1,1,4,16,4,0,8,3,0
